Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body,0.00716026640736511,0.00172520985943481,0.256532475434186,0,0,0,33.056195671599,0.707348352655507,0.000241517537468276,0.00411055188164584,0.743011043496012,1.55745567785711E-05,1.06639769936482,0,0,0,0,0,0,package://AuG2PeR/meshes/Body.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://AuG2PeR/meshes/Body.STL,,3030_202-2;3030_630-7;3030_63-2;3030_630-8;3030_63-1;3030_77-3;3030_630-2;3030_690-2;3030_250-1;3030_125-4;3030_450-2;3030_630-9;3030_650_2-1;3030_650_2-2;3030_630-6;3030_650_2-3;3030_650-8;3030_450-1;3030_630-5;3030_77-2;3030_202-1;3030_630-4;3030_125-2;3030_125-1;3030_650-7;3030_650-5;3030_250-2;3030_650-1;3030_650-4;3030_650-2;3030_650-3;3030_250-3;Bottom_Plate-1;3030_250-6;3030_250-5;3030_190-1;SK8 SHAFT HOLDER-7;SK8 SHAFT HOLDER-8;3030_250-4;SK8 SHAFT HOLDER-5;3030_65-5;3030_65-6;3030_630-1;3030_690-1;3030_65-3;SK8 SHAFT HOLDER-3;3030_65-4;3030_65-1;SK8 SHAFT HOLDER-1;3030_65-2;3030_125-3;SK8 SHAFT HOLDER-2;3030_650-6;Rocker_pin-1;Rocker_pin-3;Rocker_pin-2;3030_264.25-3;Bump_mount-1;Bump_mount-7;Bump_mount-8;Bump_mount-10;side_bump-7;front_bump-7;side_bump-8;side_bump-9;front_bump-12;front_bump-14;front_bump-15;side_bump-6;Outer_panel-1;battery_box-1;Elec_Layout-2/Elec_Plate-1;Elec_Layout-2/7 PORTS - USB 3.0 High Speed Hub.step-1;Elec_Layout-2/arduinonano-1;Elec_Layout-2/MEGA 2560 PRO (EMBED)-1;Elec_Layout-2/Odrive-1;Elec_Layout-2/Jetson nano_fixed.step-2;L-corner_3030-9;L-corner_3030-10;UI_mount-1;Screen_mount-1;MONTAGEM FINAL-1;Part1^Skeleton-1;Lidar_safe-1,Body_Frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
IMU,-0.0022349470826071,-5.36824052277396E-06,-0.000184211665558209,0,0,0,0.00140243259130261,4.31149015991426E-08,-7.89268573725056E-12,-8.36590400006167E-12,1.56221337317265E-07,3.01259843621263E-24,1.97404863548003E-07,0,0,0,0,0,0,package://AuG2PeR/meshes/IMU.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AuG2PeR/meshes/IMU.STL,,Elec_Layout-2/Grove IMU-2,IMU_accel,Axis_IMU,IMU,fixed,0.116764700416596,0.00350150782548497,0.189499971785752,0,0,0,Body,0,0,0,,,,,,,,,,,,
Accel,-0.0022349470826071,-5.36824052277396E-06,-0.000184211665558209,0,0,0,0.00140243259130261,4.31149015991426E-08,-7.89268573724908E-12,-8.36590400006167E-12,1.56221337317265E-07,3.01473450391504E-24,1.97404863548003E-07,0,0,0,0,0,0,package://AuG2PeR/meshes/Accel.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AuG2PeR/meshes/Accel.STL,,Elec_Layout-2/Grove IMU-2,IMU_accel,Axis_IMU_accel,IMU_accel,fixed,0,0,0,0,0,0,IMU,0,0,0,,,,,,,,,,,,
Mag,-5.36824052310703E-06,0.00223494708260713,-0.000184211665558209,0,0,0,0.00140243259130261,1.56221337317265E-07,7.89268573720885E-12,3.01203614183205E-24,4.31149015991426E-08,8.36590400006168E-12,1.97404863548003E-07,0,0,0,0,0,0,package://AuG2PeR/meshes/Mag.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AuG2PeR/meshes/Mag.STL,,Elec_Layout-2/Grove IMU-2,IMU_mag,Axis_IMU_mag,IMU_mag,fixed,0,0,0,0,0,1.5707963267949,IMU,0,0,0,,,,,,,,,,,,
UWB,0.0130765164022136,0.000417565200524495,-0.00237860248282654,0,0,0,0.0140507300864501,4.70296209620221E-06,1.1544740124781E-08,-9.08965468868349E-07,1.36291743695962E-05,9.73513007175758E-09,1.74908774957468E-05,0,0,0,0,0,0,package://AuG2PeR/meshes/UWB.STL,1,1,1,1,0,0,0,0,0,0,package://AuG2PeR/meshes/UWB.STL,,Elec_Layout-2/mdek1001_housing-1,UWB,Axis_UWB,UWB,fixed,0.239785953619563,-0.257500297762019,0.202799971785752,0,0,0,Body,0,0,0,,,,,,,,,,,,
Lidar,-0.00676668663066682,7.9575573954549E-05,-0.00738187226715975,0,0,0,1.33076913637071,0.00061492201997467,-1.43310026309332E-06,-0.000158248405218838,0.000960693256096642,2.80279689693609E-06,0.00109815200027136,0,0,0,0,0,0,package://AuG2PeR/meshes/Lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://AuG2PeR/meshes/Lidar.STL,,rplidar_main-1,Coordinate System12,Axis_Lidar,Lidar,fixed,0.259248476283325,0.00160845581108005,0.311649987885194,0,0,0,Body,0,0,0,,,,,,,,,,,,
Front_Camera_MT,0.00125143599778987,0.0140829433302715,-0.0183072888008988,0,0,0,0.497086671395994,0.012264251685547,4.75633191797367E-11,2.55425753121806E-06,8.99852631249792E-05,-7.72427203165742E-11,0.012263028387103,0,0,0,0,0,0,package://AuG2PeR/meshes/Front_Camera_MT.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://AuG2PeR/meshes/Front_Camera_MT.STL,,3030_650-4;Camera+cone+mount-1/Camera_mount-1,Camera_F_mount,Axis_Front_Camera_MT,Front_Camera_MT,fixed,0.331181338321098,-0.0139985062816387,0.0649999878851947,0,0,0,Body,0,0,0,,,,,,,,,,,,
Front_Camera,-0.00184701405089949,2.94519262020176E-07,0.749960487362295,0,0,0,1412.49857693757,262.33370235927,-2.74755171392194E-09,-0.922886018662689,480.672377254469,-2.17801406421358E-06,637.069279067385,0,0,0,0,0,0,package://AuG2PeR/meshes/Front_Camera.STL,1,1,1,1,0,0,0,0,0,0,package://AuG2PeR/meshes/Front_Camera.STL,,Camera+cone+mount-1/Camera_mount-1;Intel_RealSense_Depth_Camera_D435-1,Camera_Front,Axis_Front_Camera,Front_Camera,fixed,0.00822174177234949,-0.000125479679795149,0.0249375236111071,-1.39626392019333,0.000427650920728581,-1.57322165821235,Front_Camera_MT,0,0,0,,,,,,,,,,,,
Reverse_Camera_MT,-0.00125145266442195,-0.0140829433302656,-0.0183072888008994,0,0,0,0.497086671395993,0.012264251685547,4.75631960834501E-11,-2.5542491135171E-06,8.99852631249789E-05,7.72427259399916E-11,0.012263028387103,0,0,0,0,0,0,package://AuG2PeR/meshes/Reverse_Camera_MT.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://AuG2PeR/meshes/Reverse_Camera_MT.STL,,3030_650-3;Camera+cone+mount-2/Camera_mount-1,Camera_R_mount,Axis_Reverse_Camera_MT,Reverse_Camera_MT,fixed,-0.324750647534522,0.0160014937183539,0.0649999717857527,0,0,0,Body,0,0,0,,,,,,,,,,,,
Reverse_Camera,0.030000532341469,1.21883034839843E-06,0.744855075416514,0,0,0,343.015427446601,25.8090475060931,1.59365302197116E-09,-2.74725921772291E-07,36.8982973452032,-2.19108699317516E-06,36.9860642641379,0,0,0,0,0,0,package://AuG2PeR/meshes/Reverse_Camera.STL,1,1,1,1,0,0,0,0,0,0,package://AuG2PeR/meshes/Reverse_Camera.STL,,Camera+cone+mount-2/Camera_mount-1;Intel_RealSense_Depth_Camera_D415-1,Camera_back,Axis_Reverse_Camera,Reverse_Camera,fixed,-0.00822174177235069,-0.0298745203202043,0.0249375236111074,-1.39626340159546,0,1.5707963267949,Reverse_Camera_MT,0,0,0,,,,,,,,,,,,
