Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body,-0.0063309,-0.028612,-0.056059,0,0,0,9.0807,0.1901,4.6485E-06,-7.1817E-12,0.18671,-2.1016E-11,0.36364,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Body.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Body.STL,,3030_202-2;3030_630-7;3030_63-2;3030_630-8;3030_63-1;3030_77-3;3030_630-2;3030_690-2;3030_250-1;3030_125-4;3030_450-2;3030_630-9;3030_650_2-1;3030_650_2-2;3030_630-6;3030_650_2-3;3030_650-8;3030_450-1;3030_630-5;3030_77-2;Lidar_mount-1/Lidar_Plate-1;3030_202-1;3030_630-4;3030_125-2;3030_125-1;3030_650-7;3030_650-5;3030_250-2;3030_650-1;3030_650-4;3030_650-2;3030_650-3;3030_250-3;Bottom_Plate-1;3030_250-6;3030_250-5;3030_190-1;SK8 SHAFT HOLDER-7;SK8 SHAFT HOLDER-8;3030_250-4;SK8 SHAFT HOLDER-5;3030_65-5;3030_65-6;3030_630-1;3030_690-1;3030_65-3;SK8 SHAFT HOLDER-3;3030_65-4;3030_264.25-2;3030_264.25-1;3030_65-1;SK8 SHAFT HOLDER-1;3030_65-2;3030_125-3;SK8 SHAFT HOLDER-2;Elec_Layout-1/Elec_Plate-1;3030_650-6,Body_Frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
IMU,0.04823,0.00050657,0.0013158,0,0,0,0.0014024,4.3115E-08,-7.8927E-12,8.3659E-12,1.5622E-07,-5.2945E-24,1.974E-07,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/IMU.STL,0,0.37647,0.50196,1,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/IMU.STL,,Elec_Layout-1/Grove IMU-1/Grove IMU Board-1;Elec_Layout-1/Grove IMU-1/Grove Connecteur-1;Elec_Layout-1/Grove IMU-1/MPU9150-1,IMU,Axis_IMU,IMU,fixed,-0.085598990312745,-0.0289195275889518,-0.0580000076141442,0,0,0,Body,0,0,0,,,,,,,,,,,,
UWB,-0.013077,-0.00041757,-0.0023786,0,0,0,0.014051,4.703E-06,1.1545E-08,9.0897E-07,1.3629E-05,-9.7351E-09,1.7491E-05,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/UWB.STL,1,1,1,1,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/UWB.STL,,Elec_Layout-1/mdek1001_housing-1,UWB,Axis_UWB,UWB,fixed,-0.133778420050809,-0.246987118886768,-0.0432000076141442,0,0,0,Body,0,0,0,,,,,,,,,,,,
Lidar_Base,-0.15,1.1102E-16,-0.0015,0,0,0,0.94642,0.032961,-3.877E-10,-1.3442E-17,0.018778,-3.6602E-18,0.051737,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Lidar_Base.STL,0.25,0.85,0.333,1,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Lidar_Base.STL,,Lidar_mount-1/Lidar_Plate-1,Lidar_Base,Axis_Lidar_Base,Lidar_Base,fixed,-0.234051584884104,-0.0290388901337071,0.0489999943781747,0,0,3.14159265358979,Body,0,0,0,,,,,,,,,,,,
Lidar_Scanner,0.0067665,-0.00020783,-0.022432,0,0,0,1.3308,0.00061492,-8.0198E-07,0.00015824,0.0009607,-3.0916E-06,0.0010982,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Lidar_Scanner.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Lidar_Scanner.STL,,Lidar_mount-1/rplidar_main-1,Lidar_sensor,Axis_Lidar_Scanner,Lidar_Scanner,continuous,0,0,0.0576999999999999,0,0,0,Lidar_Base,0,0,-1,,,,,,,,,,,,
Front_Camera_MT,-0.00023426,-2.9796E-08,-0.016107,0,0,0,0.21191,0.0053249,4.6631E-11,-2.5042E-06,3.9454E-05,7.5728E-11,0.0053237,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Front_Camera_MT.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Front_Camera_MT.STL,,3030_650-4;Camera+cone+mount-1/Camera_mount-1,Camera_F_mount,Axis_Front_Camera_MT,Front_Camera_MT,fixed,-0.313050463395857,-0.0287638764225048,-0.180999991514702,0,0,0,Body,0,0,0,,,,,,,,,,,,
Front_Camera,-0.0080427,-0.00087421,-0.0022286,0,0,0,0.067986,5.0491E-05,4.5145E-08,-2.135E-06,9.3218E-06,8.1034E-09,4.6335E-05,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Front_Camera.STL,0,0,0,1,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Front_Camera.STL,,Camera+cone+mount-1/Camera_mount-1;Camera+cone+mount-1/Intel_RealSense_Depth_Camera_D435-2,Camera_Front,Axis_Front_Camera,Front_Camera,fixed,0.0156944801242679,0,0.0168918344929064,0,0.174532925199438,0,Front_Camera_MT,0,0,0,,,,,,,,,,,,
Image_Front,-0.0016499,-2.5148E-06,-0.013176,0,0,0,0.038191,2.112E-06,-8.0527E-09,-9.7967E-08,2.2257E-05,1.299E-08,2.3573E-05,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Image_Front.STL,1,1,1,1,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Image_Front.STL,,Camera+cone+mount-1/Intel_RealSense_Depth_Camera_D435-2,Image_Front,Axis_Image_Front,Image_Front,fixed,-0.0249499999999995,0.000125918704536931,0.00377044867290449,-1.5707963267949,0,1.56833358088111,Front_Camera,0,0,0,,,,,,,,,,,,
Reverse_Camera_MT,0.00023428,2.9796E-08,-0.016107,0,0,0,0.21191,0.0053249,4.6631E-11,2.5042E-06,3.9454E-05,-7.5728E-11,0.0053237,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Reverse_Camera_MT.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Reverse_Camera_MT.STL,,3030_650-3;Camera+cone+mount-2/Camera_mount-1,Camera_R_mount,Axis_Reverse_Camera_MT,Reverse_Camera_MT,fixed,0.342881522459764,-0.0287638764224984,-0.181000007614144,0,0,0,Body,0,0,0,,,,,,,,,,,,
Reverse_Camera,0.0080427,0.00087421,-0.0022286,0,0,0,0.067986,5.0491E-05,4.5145E-08,2.135E-06,9.3218E-06,-8.1034E-09,4.6335E-05,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Reverse_Camera.STL,0,0,0,1,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Reverse_Camera.STL,,Camera+cone+mount-2/Camera_mount-1;Camera+cone+mount-2/Intel_RealSense_Depth_Camera_D435-2,Camera_Reverse,Axis_Reverse_Camera,Reverse_Camera,fixed,-0.0156944801242679,0,0.0168918344929064,0,-0.174532925199437,0,Reverse_Camera_MT,0,0,0,,,,,,,,,,,,
